statistics,Mean,Median,Range,Std,,statistics,Mean,Median,Range,Std
feature_1,1.206474808,1.3486,3.345818,0.588236834,,feature_1,1.21,1.35,3.35,0.59
feature_2,1.202361131,1.3295,3.338058,0.587128935,,feature_2,1.2,1.33,3.34,0.59
feature_3,1.199510418,1.3316,3.313953,0.58588006,,feature_3,1.2,1.33,3.31,0.59
feature_4,1.196978509,1.3233,3.337115,0.586329006,,feature_4,1.2,1.32,3.34,0.59
feature_5,1.189087236,1.3198,3.343641,0.580951042,,feature_5,1.19,1.32,3.34,0.58
feature_6,1.188905035,1.321,3.272805,0.581816297,,feature_6,1.19,1.32,3.27,0.58
feature_7,1.18502805,1.3085,3.320597,0.580339368,,feature_7,1.19,1.31,3.32,0.58
feature_8,1.179817008,1.3002,3.400506,0.576912823,,feature_8,1.18,1.3,3.4,0.58
feature_9,1.170784629,1.2852,3.2926165,0.569693749,,feature_9,1.17,1.29,3.29,0.57
feature_10,1.163844107,1.2727,3.395991,0.565146194,,feature_10,1.16,1.27,3.4,0.57
feature_11,1.157690737,1.2664,3.4700757,0.56105877,,feature_11,1.16,1.27,3.47,0.56
feature_12,1.151475204,1.2677,3.5314835,0.557035845,,feature_12,1.15,1.27,3.53,0.56
feature_13,1.14811047,1.2586,3.3936603,0.554658045,,feature_13,1.15,1.26,3.39,0.55
feature_14,1.145224281,1.2525,3.5993897,0.554283513,,feature_14,1.15,1.25,3.6,0.55
feature_15,1.144279467,1.2488,3.6254142,0.555288024,,feature_15,1.14,1.25,3.63,0.56
feature_16,1.143420384,1.2405,3.701317,0.556812058,,feature_16,1.14,1.24,3.7,0.56
feature_17,1.141057679,1.2413,3.617077,0.554898414,,feature_17,1.14,1.24,3.62,0.55
feature_18,1.139385116,1.2233,3.717958,0.556241965,,feature_18,1.14,1.22,3.72,0.56
feature_19,1.136893322,1.2184,3.6162798,0.554902047,,feature_19,1.14,1.22,3.62,0.55
feature_20,1.132566528,1.2113,3.5342647,0.552117364,,feature_20,1.13,1.21,3.53,0.55
feature_21,1.128360648,1.2076,3.3718795,0.549138701,,feature_21,1.13,1.21,3.37,0.55
feature_22,1.121312342,1.1935,3.2746865,0.544402475,,feature_22,1.12,1.19,3.27,0.54
feature_23,1.116302572,1.192,3.3438233,0.542127283,,feature_23,1.12,1.19,3.34,0.54
feature_24,1.113097687,1.1896,3.237489,0.539993792,,feature_24,1.11,1.19,3.24,0.54
feature_25,1.110211508,1.1854,3.0409119,0.538869582,,feature_25,1.11,1.19,3.04,0.54
feature_26,1.107603023,1.1806,3.0469135,0.537938822,,feature_26,1.11,1.18,3.05,0.54
feature_27,1.106043271,1.1735,2.994063,0.538448559,,feature_27,1.11,1.17,2.99,0.54
feature_28,1.100515853,1.1696,3.011234,0.535708654,,feature_28,1.1,1.17,3.01,0.54
feature_29,1.098771032,1.1657,2.949724,0.536118326,,feature_29,1.1,1.17,2.95,0.54
feature_30,1.097828917,1.1537,2.899726,0.536189978,,feature_30,1.1,1.15,2.9,0.54
feature_31,1.096431298,1.1509,2.879318,0.535919388,,feature_31,1.1,1.15,2.88,0.54
feature_32,1.09359105,1.1437,2.825678,0.535509687,,feature_32,1.09,1.14,2.83,0.54
feature_33,1.092532284,1.1385,2.796547,0.536844531,,feature_33,1.09,1.14,2.8,0.54
feature_34,1.091500687,1.1358,2.687501,0.537344324,,feature_34,1.09,1.14,2.69,0.54
feature_35,1.086062303,1.1326,2.688734,0.533689784,,feature_35,1.09,1.13,2.69,0.53
feature_36,1.083250996,1.1239,2.7018579,0.532393,,feature_36,1.08,1.12,2.7,0.53
